fecha,inflacion_12m_pct,tna_inflacion_equivalente_pct,tna_ref_piso_pct,tna_ref_techo_pct,cftea_ref_piso_pct,cftea_ref_techo_pct,banco_tna_pct,banco_cftea_estandarizado_pct,banco_brecha_vs_techo_pp,banco_ratio_vs_techo,fintech_tna_pct,fintech_cftea_estandarizado_pct,fintech_brecha_vs_techo_pp,fintech_ratio_vs_techo,volumen_banco_nominal,factor_ipc_jul26,banco_exceso_carga_real_jul26,banco_saldo_real_jul26,stock_fintech_real_jul26,fintech_tasa_observada,fintech_exceso_proxy_real_jul26,fintech_saldo_proxy_real_jul26,ventana
2020-10,37.23903994161213,32.07662628390571,42.07662628390571,53.07662628390571,64.64522603462517,86.94253617066022,50.715714,81.9359615517145,-5.00657461894572,0.9424151302750328,130.961335,342.99583573493396,256.05329956427374,3.945086615159979,,,,,,,,,
2020-11,35.79782024124214,30.993177495270885,40.993177495270885,51.993177495270885,62.586515120292944,84.6294910988773,52.888421,86.53884175271267,1.909350653835375,1.02256129192133,130.961687,342.9975024516431,258.3680113527658,4.052931170895264,,,,,,,,,
2020-12,36.14058818579204,31.251808086607724,41.251808086607724,52.251808086607724,63.075795373111255,85.17924276322466,55.409444,92.0132851105817,6.834042347357041,1.0802313113577897,134.032708,357.75955917041745,272.58031640719275,4.2000791221505995,,,,,,,,,
2021-01,38.53198003069282,33.039765618186934,43.039765618186934,54.039765618186934,66.49536525198765,89.0210042556372,56.4185,94.24543834726684,5.224434091629647,1.0586876561920926,137.228417,373.59859136265226,284.57758710701506,4.196746537365583,,,,,,,,,
2021-02,40.65178341915821,34.60116654328162,44.60116654328162,55.60116654328162,69.53526451698598,92.43558043274489,55.97,93.25038219968921,0.8148017669443277,1.0088148066267315,143.718526,407.3227247435664,314.88714431082155,4.406557765274488,,,,,,,,,
2021-03,42.648849209340845,36.05255146049231,46.05255146049231,57.05255146049231,72.40651445763551,95.66017924556698,56.044545,93.41544562248546,-2.2447336230815154,0.9765342941986433,133.323545,354.31120697202977,258.65102772646276,3.703852635091618,,,,,,,,,
2021-04,46.28015237982328,38.64455079260223,48.64455079260223,59.64455079260223,77.64536064110614,101.54241742707745,55.3555,91.89461924586058,-9.64779818121687,0.9049875074311144,136.288201,368.8871813209804,267.34476389390295,3.6328382824438488,32983971000.0,26.620491,0.0,-3797382241.740382,755219327149.02,True,58365122322.70809,58365122322.70809,espejo
2021-05,48.8447284518426,40.43982453649208,50.43982453649208,61.43982453649208,81.35899970547177,105.71112430509339,54.620526,90.28450888498203,-15.42661542011136,0.8540681927136776,137.87189,376.8479959499182,271.1368716448248,3.5648849487429093,29569598000.0,25.764347,0.0,-5238517363.624905,832347989192.8226,True,64148226631.72505,64148226631.72505,espejo
2021-06,50.200078463653284,41.377185066797836,51.377185066797836,62.377185066797836,83.32614180642656,107.91898693170991,52.631429,85.98889252714774,-21.93009440456217,0.7967911390936303,132.609337,350.8624046718198,242.94341774010985,3.2511647361352836,30353853000.0,24.971612,0.0,-7448692847.092734,909476651236.6251,True,64406789868.928505,64406789868.928505,espejo
2021-07,51.76617069594251,42.450687537001116,52.450687537001116,63.450687537001116,85.60300603097957,110.47418981989891,53.839048,88.58611365139973,-21.888076168499182,0.8018715846282075,133.288471,354.14127691644916,243.66708709655023,3.2056471968139317,32409240000.0,24.244981,0.0,-7615392544.4841795,986605313280.4277,True,69476514300.92537,69476514300.92537,espejo
2021-08,51.4238873648428,42.2169340858817,52.2169340858817,63.2169340858817,85.10502629245961,109.91535953628303,53.147143,87.09399843856944,-22.82136109771359,0.7923733207625067,134.166261,358.41164792416305,248.49628838788,3.260796757034229,42769452000.0,23.660915,0.0,-10275188690.62639,1063733975324.23,True,76100136311.3079,76100136311.3079,espejo
2021-09,52.47121673679314,42.93066125365197,52.93066125365197,63.93066125365197,86.62937615640314,111.6259319087138,53.634091,88.14298429460008,-23.482947614113712,0.7896282054485534,135.026619,362.6329035813699,251.00697167265608,3.2486439072054174,48273216000.0,22.850458,0.0,-11452435469.287764,1140862637368.0325,True,81786644542.87738,81786644542.87738,espejo
2021-10,52.11165047233537,42.686134379195636,52.686134379195636,63.686134379195636,86.10583446432567,111.03844674623443,52.815263,86.38213594617888,-24.65631080005555,0.7779479853819938,130.969451,343.0342663807675,231.9958196345331,3.089328754433433,51897666000.0,22.074266,0.0,-12557482450.988522,1217991299411.8352,True,82633415025.04234,82633415025.04234,espejo
