"gap_id","priority","entity_or_id","role","url","expected_extension","status","method","tls_validation","warning","http_status","content_type","effective_url","local_filename","bytes","sha256","magic_ok","retrieved_utc","error"
"1021","P2","hist_bcra_infbanc_dic2018_series","BCRA · Informe sobre Bancos diciembre 2018 · Series de Datos","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1218.xls",".xls","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1218.xls","1021_P2_hist_bcra_infbanc_dic2018_series.xls","2259968","472338b1fefbc2b99f8b810c52b8f6647ec8bd3bab23f2e9d4c5ced805de2a79","True","2026-08-28T19:38:58.2942668Z",""
"1022","P2","hist_bcra_infbanc_dic2023_xlsx","Informe sobre Bancos · diciembre 2023 · Series de Datos","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1223.xlsx",".xlsx","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1223.xlsx","1022_P2_hist_bcra_infbanc_dic2023_xlsx.xlsx","176637","598d42a1a24800a546f593f4002691efa93c4d3c0ded42691fb749731be6b20f","True","2026-08-28T19:38:58.8831267Z",""
"1023","P2","hist_bcra_infbanc_jun2023_xlsx","Informe sobre Bancos · junio 2023 · Series de Datos","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc0623.xlsx",".xlsx","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc0623.xlsx","1023_P2_hist_bcra_infbanc_jun2023_xlsx.xlsx","141381","a7a1aefe61792a6dce388368db85858dba6b5129612e4cf63bece3c4a940b056","True","2026-08-28T19:38:59.3487726Z",""
"1024","P2","hist_bcra_informe_bancos_anexo","BCRA · Informe sobre Bancos · anexo XLSX","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/informe-bancos-anexo.xlsx",".xlsx","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/informe-bancos-anexo.xlsx","1024_P2_hist_bcra_informe_bancos_anexo.xlsx","2651613","bd3cfe3aefefa9830e18779fdb1d21902b69e61e3e582011018d498452a35d58","True","2026-08-28T19:39:00.4843333Z",""
"1025","P2","hist_bcra_informe_congreso_2024","BCRA · Informe al Congreso 2024","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informecongreso2024.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informecongreso2024.pdf","1025_P2_hist_bcra_informe_congreso_2024.pdf","8086930","c6595dbaa3d7ad4255e82f21857784ebb89952084451cf3080d869ae47e38c37","True","2026-08-28T19:39:02.7341839Z",""
"1026","P2","hist_bcra_perser_priv","BCRA · préstamos/depósitos privados por tipo de titular","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_priv.xls",".xls","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_priv.xls","1026_P2_hist_bcra_perser_priv.xls","1047040","9ccfe325c9ad0e61f9480d119fa268ff0b35756f8e993c49a3e9361518ea07b7","True","2026-08-28T19:39:04.1555756Z",""
"1027","P2","hist_bcra_perser_pub","BCRA · préstamos/depósitos sector público por jurisdicción","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_pub.xls",".xls","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/vnd.ms-excel","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_pub.xls","1027_P2_hist_bcra_perser_pub.xls","2678784","d7af3f66aa1fb99e42b62d8c37ed3282ec43d255fbc2b549ae153384f60ce744","True","2026-08-28T19:39:05.5298991Z",""
"1028","P2","hist_bcra_t_cladeu","BCRA · Texto Ordenado · clasificación de deudores","https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-cladeu.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-cladeu.pdf","1028_P2_hist_bcra_t_cladeu.pdf","2334724","9717cc822cac66afcf7dbde0996c9904c483d5476b1b5f2641e0115e8e35b01f","True","2026-08-28T19:39:06.8600896Z",""
"1029","P2","hist_bcra_t_prevmi","BCRA · Texto Ordenado · previsiones mínimas","https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-prevmi.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-prevmi.pdf","1029_P2_hist_bcra_t_prevmi.pdf","1124725","9c47e28525186a7f22a341a7424bcf97fd4e084114e4eca30a378699bc48ef9b","True","2026-08-28T19:39:07.8973365Z",""
"1030","P2","hist_bcra_t_so_s12","BCRA · Presentación de Informaciones · Sección 12","https://www.bcra.gob.ar/pdfs/texord/t-SO-s12.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/pdfs/texord/t-SO-s12.pdf","1030_P2_hist_bcra_t_so_s12.pdf","3352716","ec842d900fac4904e688281d4c62c5d30a9d5b288507b0dac5cad3f6a8edc0a0","True","2026-08-28T19:39:08.9462137Z",""
"1031","P2","hist_bcra_titpubser","BCRA · tenencias de títulos públicos por emisor","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/titpubser.xls",".xls","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/vnd.ms-excel","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/titpubser.xls","1031_P2_hist_bcra_titpubser.xls","922112","fb5da58f3cb4179ba039fcb5a576a8f819fa5ab8227d8d12bd7996cd32b0123a","True","2026-08-28T19:39:10.2623057Z",""
"1032","P2","hist_bna_memoria_2023_es","BNA · Memoria y Estados Financieros 2023 · español","https://www.bna.com.ar/Downloads/Institucional_MemoriayBalances_Memoria%202023%20-%20Sin%20Edicion%20Espanol.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bna.com.ar/Downloads/Institucional_MemoriayBalances_Memoria%202023%20-%20Sin%20Edicion%20Espanol.pdf","1032_P2_hist_bna_memoria_2023_es.pdf","6634939","2d4d66a0c1bbf0ed899e70cd128413e8f02c153e6698e797fb097d3a05dd91c7","True","2026-08-28T19:39:13.7606566Z",""
"1033","P2","hist_indec_ipc_dic2023","INDEC · IPC diciembre 2023","https://www.indec.gob.ar/uploads/informesdeprensa/ipc_01_24DBD5D8158C.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.indec.gob.ar/uploads/informesdeprensa/ipc_01_24DBD5D8158C.pdf","1033_P2_hist_indec_ipc_dic2023.pdf","2516416","a040cb25624ea8fa3a3f070c862447c91093fe01a83430dcc12c721a326f1435","True","2026-08-28T19:39:14.3090269Z",""
"1034","P2","hist_indec_pib_1t2024","INDEC · PIB · informe 2024 citado en V32","https://www.indec.gob.ar/uploads/informesdeprensa/pib_06_242C4E01A10F.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.indec.gob.ar/uploads/informesdeprensa/pib_06_242C4E01A10F.pdf","1034_P2_hist_indec_pib_1t2024.pdf","1222904","125ba7688273f896be95d1c1460fcfc82fdb605719f0a370eb935277cea6f087","True","2026-08-28T19:39:14.9193054Z",""
"1035","P2","hist_indec_pib_1t2026","INDEC · PIB · informe 2026 citado en V32","https://www.indec.gob.ar/uploads/informesdeprensa/pib_06_26FAE3FD2BFA.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.indec.gob.ar/uploads/informesdeprensa/pib_06_26FAE3FD2BFA.pdf","1035_P2_hist_indec_pib_1t2026.pdf","2635028","f008bfab26cf00a2eac3249e07fc00167efae03681a4de54a2dcd7c18f53bd7e","True","2026-08-28T19:39:15.3260204Z",""
