"cd_periodo","tx_grupo","nu_valor"
"201809","EEFF / Financial Institutions","38,01616404989"
"201809","OPNFC / Other Non-Financial Credit Providers","8,70353591119468"
"201809","PNFC / Non-Financial Credit Providers","22,642024935509"
"201809","TCNB / Non-Bank Credit Cards","17,1494351933622"
"201810","Bancos Privados / Private Banks","30,8541853894975"
"201810","Bancos Públicos / Public Banks","10,9356218671849"
"201810","Compañías Financieras / Financial Companies","3,07582424876767"
"201810","EEFF / Financial Institutions","38,1036595754492"
"201810","OPNFC / Other Non-Financial Credit Providers","8,74267733406736"
"201810","PNFC / Non-Financial Credit Providers","22,6874923080772"
"201810","TCNB / Non-Bank Credit Cards","17,1664254871887"
"201811","Bancos Privados / Private Banks","30,8514054071976"
"201811","Bancos Públicos / Public Banks","10,9296341939105"
"201811","Compañías Financieras / Financial Companies","3,05095711427183"
"201811","EEFF / Financial Institutions","38,1138570707652"
"201811","OPNFC / Other Non-Financial Credit Providers","8,71764494503316"
"201811","PNFC / Non-Financial Credit Providers","22,6939915610176"
"201811","TCNB / Non-Bank Credit Cards","17,1969162875162"
"201812","Bancos Privados / Private Banks","30,609258309909"
"201812","Bancos Públicos / Public Banks","10,8735489670037"
"201812","Compañías Financieras / Financial Companies","2,98277086245797"
"201812","EEFF / Financial Institutions","37,8596579793085"
"201812","OPNFC / Other Non-Financial Credit Providers","8,70462634380606"
"201812","PNFC / Non-Financial Credit Providers","22,7296565962709"
"201812","TCNB / Non-Bank Credit Cards","17,1965424534422"
"201901","Bancos Privados / Private Banks","30,6417310937309"
"201901","Bancos Públicos / Public Banks","10,9416998672883"
"201901","Compañías Financieras / Financial Companies","2,9550328265719"
"201901","EEFF / Financial Institutions","37,9305977871558"
"201901","OPNFC / Other Non-Financial Credit Providers","8,73520109980117"
"201901","PNFC / Non-Financial Credit Providers","22,5609670296934"
"201901","TCNB / Non-Bank Credit Cards","16,9757707274659"
"201902","Bancos Privados / Private Banks","30,8310502185809"
"201902","Bancos Públicos / Public Banks","10,9017689933262"
"201902","Compañías Financieras / Financial Companies","2,9138104981758"
"201902","EEFF / Financial Institutions","38,0360125894701"
"201902","OPNFC / Other Non-Financial Credit Providers","8,61599964558045"
"201902","PNFC / Non-Financial Credit Providers","22,1499700758743"
"201902","TCNB / Non-Bank Credit Cards","16,602040439756"
"201903","Bancos Privados / Private Banks","30,5826428313815"
"201903","Bancos Públicos / Public Banks","10,8613755190904"
"201903","Compañías Financieras / Financial Companies","2,88355057799114"
"201903","EEFF / Financial Institutions","37,8093422579212"
"201903","OPNFC / Other Non-Financial Credit Providers","8,59380208440042"
"201903","PNFC / Non-Financial Credit Providers","22,0968488726169"
"201903","TCNB / Non-Bank Credit Cards","16,543153419226"
"201904","Bancos Privados / Private Banks","30,2829796533152"
"201904","Bancos Públicos / Public Banks","10,9257747179309"
"201904","Compañías Financieras / Financial Companies","2,84398216868861"
"201904","EEFF / Financial Institutions","37,6142950802396"
"201904","OPNFC / Other Non-Financial Credit Providers","8,53303339215316"
"201904","PNFC / Non-Financial Credit Providers","22,1232089342981"
"201904","TCNB / Non-Bank Credit Cards","16,6041136157469"
"201905","Bancos Privados / Private Banks","30,1384342477966"
"201905","Bancos Públicos / Public Banks","10,9432284242835"
"201905","Compañías Financieras / Financial Companies","2,78686912435306"
"201905","EEFF / Financial Institutions","37,4986438587684"
"201905","OPNFC / Other Non-Financial Credit Providers","8,58813224395913"
"201905","PNFC / Non-Financial Credit Providers","22,4277862354962"
"201905","TCNB / Non-Bank Credit Cards","16,8661746997878"
"201906","Bancos Privados / Private Banks","29,9386849761066"
"201906","Bancos Públicos / Public Banks","10,8711857470468"
"201906","Compañías Financieras / Financial Companies","2,70880778359886"
"201906","EEFF / Financial Institutions","37,2569902363684"
"201906","OPNFC / Other Non-Financial Credit Providers","8,41831950887614"
"201906","PNFC / Non-Financial Credit Providers","22,1835479733512"
"201906","TCNB / Non-Bank Credit Cards","16,6772632261421"
"201907","Bancos Privados / Private Banks","29,9225626696489"
"201907","Bancos Públicos / Public Banks","10,89371235898"
"201907","Compañías Financieras / Financial Companies","2,59753828248334"
"201907","EEFF / Financial Institutions","37,2505058310554"
"201907","OPNFC / Other Non-Financial Credit Providers","8,54659324539927"
"201907","PNFC / Non-Financial Credit Providers","22,2241277622162"
"201907","TCNB / Non-Bank Credit Cards","16,5735315999273"
"201908","Bancos Privados / Private Banks","29,9175951109299"
"201908","Bancos Públicos / Public Banks","10,9373737787371"
"201908","Compañías Financieras / Financial Companies","2,53701906922524"
"201908","EEFF / Financial Institutions","37,2685684881242"
"201908","OPNFC / Other Non-Financial Credit Providers","8,43677703623046"
"201908","PNFC / Non-Financial Credit Providers","22,150831794629"
"201908","TCNB / Non-Bank Credit Cards","16,5617682476268"
"201909","Bancos Privados / Private Banks","29,9564475651378"
"201909","Bancos Públicos / Public Banks","10,9770133673791"
"201909","Compañías Financieras / Financial Companies","2,49785012146912"
"201909","EEFF / Financial Institutions","37,3162456697885"
"201909","OPNFC / Other Non-Financial Credit Providers","8,25496635092207"
"201909","PNFC / Non-Financial Credit Providers","21,5937000102361"
"201909","TCNB / Non-Bank Credit Cards","16,038997551926"
"201910","Bancos Privados / Private Banks","29,9554944996063"
"201910","Bancos Públicos / Public Banks","11,0532214850717"
"201910","Compañías Financieras / Financial Companies","2,43768650083008"
"201910","EEFF / Financial Institutions","37,3684810863"
"201910","OPNFC / Other Non-Financial Credit Providers","8,09496875131661"
"201910","PNFC / Non-Financial Credit Providers","21,4435301873893"
"201910","TCNB / Non-Bank Credit Cards","16,0138650113836"
"201911","Bancos Privados / Private Banks","29,8526105963155"
"201911","Bancos Públicos / Public Banks","11,096911539373"
"201911","Compañías Financieras / Financial Companies","2,41082721092904"
"201911","EEFF / Financial Institutions","37,3279430364153"
"201911","OPNFC / Other Non-Financial Credit Providers","8,03801092060154"
"201911","PNFC / Non-Financial Credit Providers","21,3375009092679"
"201911","TCNB / Non-Bank Credit Cards","15,9249836331766"
"201912","Bancos Privados / Private Banks","29,4660113365626"
"201912","Bancos Públicos / Public Banks","11,1290050966505"
"201912","Compañías Financieras / Financial Companies","2,41577888519278"
"201912","EEFF / Financial Institutions","37,0330310763733"
"201912","OPNFC / Other Non-Financial Credit Providers","7,94078915347861"
"201912","PNFC / Non-Financial Credit Providers","21,4802137303735"
"201912","TCNB / Non-Bank Credit Cards","16,0980408342117"
"202001","Bancos Privados / Private Banks","29,636460776669"
"202001","Bancos Públicos / Public Banks","11,1426192157538"
"202001","Compañías Financieras / Financial Companies","2,33374061632487"
"202001","EEFF / Financial Institutions","37,1929200264293"
"202001","OPNFC / Other Non-Financial Credit Providers","7,76259777989933"
"202001","PNFC / Non-Financial Credit Providers","21,1339123818449"
"202001","TCNB / Non-Bank Credit Cards","15,8620493017627"
"202002","Bancos Privados / Private Banks","29,5055278734422"
"202002","Bancos Públicos / Public Banks","11,1489089862766"
"202002","Compañías Financieras / Financial Companies","2,28617972857472"
"202002","EEFF / Financial Institutions","37,0746474208082"
"202002","OPNFC / Other Non-Financial Credit Providers","7,74158465997792"
"202002","PNFC / Non-Financial Credit Providers","20,9974995146832"
"202002","TCNB / Non-Bank Credit Cards","15,7098951569569"
"202003","Bancos Privados / Private Banks","29,2973832554702"
"202003","Bancos Públicos / Public Banks","11,2161812162527"
"202003","Compañías Financieras / Financial Companies","2,25335899860449"
"202003","EEFF / Financial Institutions","36,9502131817568"
"202003","OPNFC / Other Non-Financial Credit Providers","7,63709711701017"
"202003","PNFC / Non-Financial Credit Providers","20,7723626107231"
"202003","TCNB / Non-Bank Credit Cards","15,5488800270306"
"202004","Bancos Privados / Private Banks","28,8492640276008"
"202004","Bancos Públicos / Public Banks","10,9504320923316"
"202004","Compañías Financieras / Financial Companies","2,16210927803222"
"202004","EEFF / Financial Institutions","36,4038624880379"
"202004","OPNFC / Other Non-Financial Credit Providers","7,38546130277903"
"202004","PNFC / Non-Financial Credit Providers","19,8890633734738"
"202004","TCNB / Non-Bank Credit Cards","14,7821246696332"
"202005","Bancos Privados / Private Banks","28,740478866951"
"202005","Bancos Públicos / Public Banks","10,9899412420738"
"202005","Compañías Financieras / Financial Companies","2,10066175854828"
"202005","EEFF / Financial Institutions","36,3561693956324"
"202005","OPNFC / Other Non-Financial Credit Providers","7,38814614999005"
"202005","PNFC / Non-Financial Credit Providers","19,9321463636637"
"202005","TCNB / Non-Bank Credit Cards","14,7939448707939"
"202006","Bancos Privados / Private Banks","28,6763782724498"
"202006","Bancos Públicos / Public Banks","11,0252532705636"
"202006","Compañías Financieras / Financial Companies","2,04991112787175"
"202006","EEFF / Financial Institutions","36,3523766339564"
"202006","OPNFC / Other Non-Financial Credit Providers","7,25656992211097"
"202006","PNFC / Non-Financial Credit Providers","19,7317768151088"
"202006","TCNB / Non-Bank Credit Cards","14,6635923845129"
"202007","Bancos Privados / Private Banks","28,6297012195902"
"202007","Bancos Públicos / Public Banks","11,1710633379081"
"202007","Compañías Financieras / Financial Companies","2,01705296143803"
"202007","EEFF / Financial Institutions","36,437421643915"
"202007","OPNFC / Other Non-Financial Credit Providers","7,05479483946969"
"202007","PNFC / Non-Financial Credit Providers","19,670304949951"
"202007","TCNB / Non-Bank Credit Cards","14,7427708690555"
"202008","Bancos Privados / Private Banks","28,5047133826108"
"202008","Bancos Públicos / Public Banks","11,2206998088132"
"202008","Compañías Financieras / Financial Companies","1,9942213673345"
"202008","EEFF / Financial Institutions","36,3832056816437"
"202008","OPNFC / Other Non-Financial Credit Providers","7,00800216771408"
"202008","PNFC / Non-Financial Credit Providers","19,6214146660278"
"202008","TCNB / Non-Bank Credit Cards","14,7117108892744"
"202009","Bancos Privados / Private Banks","28,0494630157677"
"202009","Bancos Públicos / Public Banks","11,2509217147142"
"202009","Compañías Financieras / Financial Companies","1,94765540494205"
"202009","EEFF / Financial Institutions","36,0701462547442"
"202009","OPNFC / Other Non-Financial Credit Providers","7,06534719515971"
"202009","PNFC / Non-Financial Credit Providers","19,8005683400322"
"202009","TCNB / Non-Bank Credit Cards","14,845271449213"
"202010","Bancos Privados / Private Banks","27,4606639106804"
"202010","Bancos Públicos / Public Banks","11,2976223939125"
"202010","Compañías Financieras / Financial Companies","1,94923533701345"
"202010","EEFF / Financial Institutions","35,6790496272796"
"202010","OPNFC / Other Non-Financial Credit Providers","7,05038067969482"
"202010","PNFC / Non-Financial Credit Providers","19,9371245858207"
"202010","TCNB / Non-Bank Credit Cards","14,9903995471939"
"202011","Bancos Privados / Private Banks","27,2216542152694"
"202011","Bancos Públicos / Public Banks","11,3691465767443"
"202011","Compañías Financieras / Financial Companies","1,97520798219821"
"202011","EEFF / Financial Institutions","35,5727981394637"
"202011","OPNFC / Other Non-Financial Credit Providers","7,03840672363562"
"202011","PNFC / Non-Financial Credit Providers","20,0218426204813"
"202011","TCNB / Non-Bank Credit Cards","15,0906017391477"
"202012","Bancos Privados / Private Banks","26,9562969522925"
