"cd_periodo","tx_asistencia","nu_valor"
"201907","Prendarios / Pledge-backed Loans","1,39184187876244"
"201907","Tarjetas de crédito / Credit Cards","37,7584968147757"
"201908","Adelantos / Overdrafts","3,48577640627512"
"201908","Hipotecarios / Mortgage-backed Loans","0,722536474249347"
"201908","Personales / Personal Loans","24,6365430696293"
"201908","Prendarios / Pledge-backed Loans","1,3484497903473"
"201908","Tarjetas de crédito / Credit Cards","37,8610483381728"
"201909","Adelantos / Overdrafts","3,49987969614481"
"201909","Hipotecarios / Mortgage-backed Loans","0,718014317202075"
"201909","Personales / Personal Loans","24,3710394837928"
"201909","Prendarios / Pledge-backed Loans","1,29407978365937"
"201909","Tarjetas de crédito / Credit Cards","37,6109350106142"
"201910","Adelantos / Overdrafts","3,49376031915597"
"201910","Hipotecarios / Mortgage-backed Loans","0,714248909309161"
"201910","Personales / Personal Loans","24,1064878910893"
"201910","Prendarios / Pledge-backed Loans","1,25746939173369"
"201910","Tarjetas de crédito / Credit Cards","37,7332156776449"
"201911","Adelantos / Overdrafts","3,59262918057944"
"201911","Hipotecarios / Mortgage-backed Loans","0,711115008904959"
"201911","Personales / Personal Loans","23,9853918768933"
"201911","Prendarios / Pledge-backed Loans","1,21272881288321"
"201911","Tarjetas de crédito / Credit Cards","37,6405992251863"
"201912","Adelantos / Overdrafts","2,88519419110829"
"201912","Hipotecarios / Mortgage-backed Loans","0,707286150585565"
"201912","Personales / Personal Loans","23,9858131950542"
"201912","Prendarios / Pledge-backed Loans","1,16922935009405"
"201912","Tarjetas de crédito / Credit Cards","37,749166545135"
"202001","Adelantos / Overdrafts","3,3384559129847"
"202001","Hipotecarios / Mortgage-backed Loans","0,702647321880874"
"202001","Personales / Personal Loans","23,9364192404197"
"202001","Prendarios / Pledge-backed Loans","1,12570876037231"
"202001","Tarjetas de crédito / Credit Cards","37,7343578726824"
"202002","Adelantos / Overdrafts","3,20786337738003"
"202002","Hipotecarios / Mortgage-backed Loans","0,6984730317415"
"202002","Personales / Personal Loans","23,8937161261621"
"202002","Prendarios / Pledge-backed Loans","1,0844161058838"
"202002","Tarjetas de crédito / Credit Cards","37,6574954520014"
"202003","Adelantos / Overdrafts","3,12426713521319"
"202003","Hipotecarios / Mortgage-backed Loans","0,693213578948244"
"202003","Personales / Personal Loans","23,3245807104071"
"202003","Prendarios / Pledge-backed Loans","1,05091660048028"
"202003","Tarjetas de crédito / Credit Cards","37,5450419227508"
"202004","Adelantos / Overdrafts","3,02810646911027"
"202004","Hipotecarios / Mortgage-backed Loans","0,723983738852625"
"202004","Personales / Personal Loans","22,9338357586522"
"202004","Prendarios / Pledge-backed Loans","1,01296079980986"
"202004","Tarjetas de crédito / Credit Cards","36,8336504867863"
"202005","Adelantos / Overdrafts","2,91695757154743"
