scope,id,tema,titulo,url,declared_local_path,url_extension,audit_state,local_matches,versions,reference_files,registry_statuses,period_or_role,already_in_master_catalog
data/fuentes/FUENTES.csv,bcra_ief_2s2024_ciclo,ciclo_ajuste_bancos,IEF · segundo semestre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_2s2024_ciclo.pdf,.pdf,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_2s2024_ciclo.pdf,,,,2023-Q3/2024-Q3,True
data/fuentes/FUENTES.csv,bcra_isb_abr2014_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · abril 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-abril-de-2014/,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_abr2014_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_abr2014_ciclo.pdf,,,,2014-04,True
data/fuentes/FUENTES.csv,bcra_isb_abr2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · abril 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-abril-2018/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_abr2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_abr2018_ciclo.pdf,,,,2018-04,True
data/fuentes/FUENTES.csv,bcra_isb_dic2013_buffers,ciclo_ajuste_bancos,Informe sobre Bancos · diciembre 2013,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2013/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_dic2013_buffers.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_dic2013_buffers.pdf,,,,2013-12,True
data/fuentes/FUENTES.csv,bcra_isb_dic2018_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · diciembre 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2018-2/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_dic2018_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_dic2018_ciclo.pdf,,,,2018-12,True
data/fuentes/FUENTES.csv,bcra_isb_dic2023_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · diciembre 2023,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2023/,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_dic2023_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_dic2023_ciclo.pdf,,,,2023-12,True
data/fuentes/FUENTES.csv,bcra_isb_ene2014_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · enero 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-enero-de-2014/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_ene2014_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_ene2014_ciclo.pdf,,,,2014-01,True
data/fuentes/FUENTES.csv,bcra_isb_feb2014_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · febrero 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-febrero-de-2014/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_feb2014_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_feb2014_ciclo.pdf,,,,2014-02,True
data/fuentes/FUENTES.csv,bcra_isb_feb2024_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · febrero 2024,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-febrero-de-2024/,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_feb2024_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_isb_feb2024_ciclo.pdf,,,,2024-02,True
data/fuentes/FUENTES.csv,bcra_isb_jul2014_ciclo,ciclo_ajuste_bancos,Informe sobre Bancos · julio 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-julio-de-2014/,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jul2014_ciclo.pdf,,PRESERVED_LOCAL_HASH_OK,/data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jul2014_ciclo.pdf,,,,2014-07,True
