path,bytes,mib,over_50_mib,over_100_mib
data/derivados/tasas_impacto_financiero_post_shock.csv,10247,0.009772,False,False
data/derivados/tasas_impacto_financiero_ventana_espejo.csv,9978,0.009516,False,False
data/derivados/tasas_pinza_hogar_auditada.csv,30328,0.028923,False,False
data/derivados/tasas_resumen_auditado.json,1698,0.001619,False,False
data/derivados/vacaciones_turismo/AUDITORIA_VACACIONES_TURISMO.md,2852,0.002720,False,False
data/derivados/vacaciones_turismo/build_vacaciones_tab.py,59627,0.056865,False,False
data/derivados/vacaciones_turismo/TESTS_VACACIONES_TURISMO.json,430,0.000410,False,False
data/derivados/vacaciones_turismo/vacaciones_turismo_data.json,17231,0.016433,False,False
data/derivados/vacaciones_turismo/vacaciones_turismo_flujos.csv,4175,0.003982,False,False
data/fuentes/ciclo_ajuste/agn/agn_bna_informe210_9m2023_attachments.zip,2091864,1.994957,False,False
data/fuentes/ciclo_ajuste/AUDITORIA_CICLO_AJUSTE_V70.md,2726,0.002600,False,False
data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_1s2024_ciclo.pdf,896512,0.854980,False,False
data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_2s2024_ciclo.pdf,934551,0.891257,False,False
data/fuentes/ciclo_ajuste/backfill_v96/bna_balance_condensado_sep2023_control.pdf,20060,0.019131,False,False
data/fuentes/ciclo_ajuste/backfill_v96/bna_memoria_fy2023_aq.pdf,4014890,3.828897,False,False
data/fuentes/ciclo_ajuste/backfill_v96/ciudad_eeff_9m2023_consol_control.pdf,1020190,0.972929,False,False
data/fuentes/ciclo_ajuste/backfill_v96/icbc_eeff_9m2023_aq.pdf,4775965,4.554715,False,False
data/fuentes/ciclo_ajuste/backfill_v96/icbc_eeff_fy2023_aq.pdf,7357993,7.017129,False,False
data/fuentes/ciclo_ajuste/backfill_v96/macro_eeff_9m2023_aq.pdf,1193091,1.137820,False,False
