periodo,estrato_ipcf,combinacion_exacta,porcentaje_ponderado,hogares_expandidos,hogares_expandidos_denominador,n_muestral
2025-Q1,alto,ahorro+prestamo_banco+cuotas_fiado,5.006,101444,2026349,2149
2025-Q1,alto,prestamo_banco+cuotas_fiado,3.523,71395,2026349,2149
2025-Q1,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.921,38928,2026349,2149
2025-Q1,alto,ahorro+prestamo_familia+cuotas_fiado,1.621,32857,2026349,2149
2025-Q1,alto,ahorro+prestamo_familia,1.15,23293,2026349,2149
2025-Q1,alto,prestamo_banco,1.148,23265,2026349,2149
2025-Q1,alto,ahorro+prestamo_familia+cuotas_fiado+venta,1.148,23261,2026349,2149
2025-Q1,alto,ahorro+cuotas_fiado+venta,1.085,21990,2026349,2149
2025-Q1,alto,prestamo_familia+cuotas_fiado,0.963,19514,2026349,2149
2025-Q1,alto,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.8,16215,2026349,2149
2025-Q1,alto,venta,0.484,9811,2026349,2149
2025-Q1,alto,ahorro+prestamo_banco,0.464,9398,2026349,2149
2025-Q1,alto,cuotas_fiado+venta,0.462,9365,2026349,2149
2025-Q1,alto,ahorro+prestamo_familia+prestamo_banco,0.401,8120,2026349,2149
2025-Q1,alto,prestamo_familia+prestamo_banco+cuotas_fiado,0.371,7512,2026349,2149
2025-Q1,alto,ahorro+prestamo_familia+venta,0.339,6874,2026349,2149
2025-Q1,alto,prestamo_familia,0.318,6452,2026349,2149
2025-Q1,alto,ahorro+prestamo_banco+cuotas_fiado+venta,0.277,5615,2026349,2149
2025-Q1,alto,prestamo_banco+cuotas_fiado+venta,0.165,3335,2026349,2149
2025-Q1,alto,ahorro+venta,0.146,2950,2026349,2149
2025-Q1,alto,ahorro+prestamo_banco+venta,0.102,2075,2026349,2149
2025-Q1,alto,prestamo_familia+prestamo_banco,0.058,1172,2026349,2149
2025-Q1,alto,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.014,274,2026349,2149
2025-Q1,alto,ahorro+prestamo_familia+prestamo_banco+venta,0.006,116,2026349,2149
2025-Q2,total,ninguna,29.723,3009752,10126162,16169
2025-Q2,total,cuotas_fiado,20.479,2073693,10126162,16169
2025-Q2,total,ahorro+cuotas_fiado,11.57,1171559,10126162,16169
2025-Q2,total,ahorro,8.415,852107,10126162,16169
2025-Q2,total,prestamo_banco+cuotas_fiado,2.977,301454,10126162,16169
2025-Q2,total,ahorro+prestamo_banco+cuotas_fiado,2.971,300867,10126162,16169
2025-Q2,total,ahorro+prestamo_familia+cuotas_fiado,2.69,272364,10126162,16169
2025-Q2,total,ahorro+prestamo_familia,2.2,222756,10126162,16169
2025-Q2,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.761,178306,10126162,16169
2025-Q2,total,prestamo_familia+cuotas_fiado,1.726,174786,10126162,16169
2025-Q2,total,prestamo_banco,1.717,173829,10126162,16169
2025-Q2,total,prestamo_familia,1.485,150403,10126162,16169
2025-Q2,total,ahorro+prestamo_familia+cuotas_fiado+venta,1.454,147272,10126162,16169
2025-Q2,total,venta,1.134,114872,10126162,16169
2025-Q2,total,ahorro+venta,1.028,104075,10126162,16169
2025-Q2,total,ahorro+cuotas_fiado+venta,0.9,91155,10126162,16169
2025-Q2,total,ahorro+prestamo_familia+venta,0.874,88531,10126162,16169
2025-Q2,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.849,86013,10126162,16169
2025-Q2,total,cuotas_fiado+venta,0.841,85145,10126162,16169
2025-Q2,total,ahorro+prestamo_banco,0.799,80953,10126162,16169
2025-Q2,total,ahorro+prestamo_banco+cuotas_fiado+venta,0.665,67358,10126162,16169
2025-Q2,total,prestamo_familia+prestamo_banco+cuotas_fiado,0.658,66644,10126162,16169
