periodo,estrato_ipcf,metrica,porcentaje_ponderado,hogares_expandidos_numerador,hogares_expandidos_denominador,n_muestral
2025,bajo,solo_ingreso_laboral_proxy,7.619,1257069,16499066,35979
2025,medio,gasto_ahorros,37.994,6138128,16155583,19072
2025,medio,prestamo_familia_amigos,14.022,2265377,16155583,19072
2025,medio,prestamo_banco_financiera,16.19,2615532,16155583,19072
2025,medio,cuotas_o_fiado,54.742,8843836,16155583,19072
2025,medio,venta_pertenencias,8.696,1404859,16155583,19072
2025,medio,cualquier_prestamo,25.085,4052552,16155583,19072
2025,medio,ahorro_o_venta,40.756,6584407,16155583,19072
2025,medio,cualquier_estrategia_v13_v17,71.711,11585252,16155583,19072
2025,medio,sin_estrategias_v13_v17,28.289,4570331,16155583,19072
2025,medio,solo_recursos_monetarios_corrientes_proxy,25.704,4152616,16155583,19072
2025,medio,solo_ingreso_laboral_proxy,9.842,1590026,16155583,19072
2025,alto,gasto_ahorros,34.846,2812502,8071132,8496
2025,alto,prestamo_familia_amigos,8.649,698088,8071132,8496
2025,alto,prestamo_banco_financiera,13.06,1054078,8071132,8496
2025,alto,cuotas_o_fiado,63.843,5152829,8071132,8496
2025,alto,venta_pertenencias,5.454,440239,8071132,8496
2025,alto,cualquier_prestamo,18.305,1477454,8071132,8496
2025,alto,ahorro_o_venta,36.451,2942033,8071132,8496
2025,alto,cualquier_estrategia_v13_v17,74.559,6017756,8071132,8496
2025,alto,sin_estrategias_v13_v17,25.441,2053376,8071132,8496
2025,alto,solo_recursos_monetarios_corrientes_proxy,24.766,1998886,8071132,8496
2025,alto,solo_ingreso_laboral_proxy,13.484,1088305,8071132,8496
2026-Q1,total,gasto_ahorros,38.953,3976193,10207758,15447
2026-Q1,total,prestamo_familia_amigos,16.975,1732779,10207758,15447
2026-Q1,total,prestamo_banco_financiera,15.633,1595734,10207758,15447
2026-Q1,total,cuotas_o_fiado,50.66,5171260,10207758,15447
2026-Q1,total,venta_pertenencias,10.661,1088235,10207758,15447
2026-Q1,total,cualquier_prestamo,26.291,2683705,10207758,15447
2026-Q1,total,ahorro_o_venta,42.602,4348719,10207758,15447
2026-Q1,total,cualquier_estrategia_v13_v17,71.778,7326894,10207758,15447
2026-Q1,total,sin_estrategias_v13_v17,28.222,2880864,10207758,15447
2026-Q1,total,solo_recursos_monetarios_corrientes_proxy,24.534,2504413,10207758,15447
2026-Q1,total,solo_ingreso_laboral_proxy,8.776,895798,10207758,15447
2026-Q1,bajo,gasto_ahorros,39.847,1641141,4118590,8593
2026-Q1,bajo,prestamo_familia_amigos,23.606,972217,4118590,8593
2026-Q1,bajo,prestamo_banco_financiera,17.404,716795,4118590,8593
2026-Q1,bajo,cuotas_o_fiado,39.752,1637205,4118590,8593
2026-Q1,bajo,venta_pertenencias,14.979,616928,4118590,8593
2026-Q1,bajo,cualquier_prestamo,32.941,1356696,4118590,8593
2026-Q1,bajo,ahorro_o_venta,45.502,1874059,4118590,8593
2026-Q1,bajo,cualquier_estrategia_v13_v17,69.745,2872526,4118590,8593
2026-Q1,bajo,sin_estrategias_v13_v17,30.255,1246064,4118590,8593
2026-Q1,bajo,solo_recursos_monetarios_corrientes_proxy,23.926,985409,4118590,8593
2026-Q1,bajo,solo_ingreso_laboral_proxy,6.632,273136,4118590,8593
2026-Q1,medio,gasto_ahorros,39.093,1586919,4059381,4828
2026-Q1,medio,prestamo_familia_amigos,14.69,596310,4059381,4828
2026-Q1,medio,prestamo_banco_financiera,16.014,650058,4059381,4828
2026-Q1,medio,cuotas_o_fiado,54.037,2193585,4059381,4828
2026-Q1,medio,venta_pertenencias,9.011,365781,4059381,4828
2026-Q1,medio,cualquier_prestamo,24.316,987080,4059381,4828
2026-Q1,medio,ahorro_o_venta,41.911,1701319,4059381,4828
2026-Q1,medio,cualquier_estrategia_v13_v17,71.507,2902754,4059381,4828
2026-Q1,medio,sin_estrategias_v13_v17,28.493,1156627,4059381,4828
2026-Q1,medio,solo_recursos_monetarios_corrientes_proxy,25.849,1049296,4059381,4828
2026-Q1,medio,solo_ingreso_laboral_proxy,9.418,382313,4059381,4828
2026-Q1,alto,gasto_ahorros,36.858,748133,2029787,2026
2026-Q1,alto,prestamo_familia_amigos,8.092,164252,2029787,2026
2026-Q1,alto,prestamo_banco_financiera,11.276,228881,2029787,2026
2026-Q1,alto,cuotas_o_fiado,66.04,1340470,2029787,2026
2026-Q1,alto,venta_pertenencias,5.199,105526,2029787,2026
2026-Q1,alto,cualquier_prestamo,16.747,339929,2029787,2026
2026-Q1,alto,ahorro_o_venta,38.1,773341,2029787,2026
2026-Q1,alto,cualquier_estrategia_v13_v17,76.442,1551614,2029787,2026
2026-Q1,alto,sin_estrategias_v13_v17,23.558,478173,2029787,2026
2026-Q1,alto,solo_recursos_monetarios_corrientes_proxy,23.141,469708,2029787,2026
2026-Q1,alto,solo_ingreso_laboral_proxy,11.841,240349,2029787,2026
