persona_id,persona,anio,tipo_ddjj,rectificativa,dj_id,periodo_controlado,bienes_resumen_ars,bienes_detalle_ars,bienes_ratio_resumen_detalle,bienes_estado,deudas_resumen_ars,deudas_detalle_ars,deudas_ratio_resumen_detalle,deudas_estado,calidad_fuente,fuente_url
dip-cisneros-carlos,Carlos Cisneros,2024,Anual,0,805694,cierre,465711724.16,465711724.16,1.0,concilia,5379680.0,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-correa-llano-facundo,Facundo Correa Llano,2022,Anual,0,687510,cierre,7412277.39,7412277.39,1.0,concilia,1854928.78,1854928.78,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-correa-llano-facundo,Facundo Correa Llano,2023,Anual,0,734662,cierre,12959378.41,12959378.41,1.0,concilia,14191545.26,14191545.26,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-correa-llano-facundo,Facundo Correa Llano,2024,Anual,0,789410,cierre,166580777.68,166580777.68,1.0,concilia,5628503.3,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-daives-ricardo,Ricardo Daives,2022,Anual,0,645578,cierre,12896392.56,12896392.56,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-daives-ricardo,Ricardo Daives,2023,Anual,0,709566,cierre,46081387.5,46081387.5,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-daives-ricardo,Ricardo Daives,2024,Anual,0,792791,cierre,113925603.47,113925603.47,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-de-andreis-fernando,Fernando de Andreis,2024,Anual,0,826811,cierre,2144695973.8,2144695973.8,1.0,concilia,42993338.48,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-de-la-sota-natalia,Natalia de la Sota,2022,Anual,0,631912,cierre,121809838.54,121809838.54,1.0,concilia,3533498.33,3533498.33,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-de-la-sota-natalia,Natalia de la Sota,2023,Anual,0,708656,cierre,535151479.71,535151479.71,1.0,concilia,8193537.32,8193537.32,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
