persona_id,persona,anio,estado_fuente,tipo_ddjj,rectificativa,dj_id,total_bienes_ars,deudas_ars,patrimonio_neto_ars,total_bienes_real_ars_2025,total_bienes_usd_a3500,ipc_indice,a3500_ars_por_usd,indice_nominal_base,indice_real_base,indice_usd_base,fuente_url,nota
javier,Javier Milei,2022,oficial_consolidado_oa,Anual,0,666955,21101634.54,0.00,21101634.54,188242407.43,119131.92,1134.5875,177.1283,454.45,154.56,215.89,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
javier,Javier Milei,2023,oficial_consolidado_oa,Anual,0,749085,125640891.45,0.00,125640891.45,359917622.92,155403.20,3533.1922,808.4833,2705.85,295.52,281.62,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
javier,Javier Milei,2024,oficial_consolidado_oa,Anual,0,797241,206046375.48,0.00,206046375.48,271051453.03,199560.65,7694.0075,1032.5000,4437.50,222.56,361.64,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
javier,Javier Milei,2025,publicado_pdf_oa_pendiente,,,,295182652.87,586357.00,294596295.87,295182652.87,202260.71,10121.3715,1459.4167,6357.17,242.37,366.53,https://www.cronista.com/economia-politica/cuanto-crecieron-los-patrimonios-de-javier-y-karina-milei-en-el-ultimo-ano-bienes-dolares-y-deudas/,Valor publicado atribuido a la DJPI 2025 y controlado contra una segunda transcripción; PDF OA individual pendiente.
martin,Martín Menem,2017,no_localizada,,,,,,,,,124.7956,18.7742,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
martin,Martín Menem,2018,no_localizada,,,,,,,,,184.2552,37.8083,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
martin,Martín Menem,2019,no_localizada,,,,,,,,,283.4442,59.8950,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
martin,Martín Menem,2020,no_localizada,,,,,,,,,385.8826,84.1450,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
martin,Martín Menem,2021,no_localizada,,,,,,,,,582.4575,102.7500,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
martin,Martín Menem,2022,oficial_consolidado_oa,Anual,0,677410,295650916.27,12907917.26,282742999.01,2637427926.79,1669134.27,1134.5875,177.1283,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
martin,Martín Menem,2023,oficial_consolidado_oa,Anual,0,749142,605015973.68,34079632.28,570936341.40,1733161143.36,748334.53,3533.1922,808.4833,204.64,65.71,44.83,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
martin,Martín Menem,2024,oficial_consolidado_oa,Anual,1,819664,1524442619.27,131214876.26,1393227743.01,2005385370.38,1476457.74,7694.0075,1032.5000,515.62,76.04,88.46,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
martin,Martín Menem,2025,no_localizada,,,,,,,,,10121.3715,1459.4167,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
karina,Karina Milei,2017,no_localizada,,,,,,,,,124.7956,18.7742,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
karina,Karina Milei,2018,no_localizada,,,,,,,,,184.2552,37.8083,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
karina,Karina Milei,2019,no_localizada,,,,,,,,,283.4442,59.8950,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
karina,Karina Milei,2020,no_localizada,,,,,,,,,385.8826,84.1450,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
karina,Karina Milei,2021,no_localizada,,,,,,,,,582.4575,102.7500,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
karina,Karina Milei,2022,no_localizada,,,,,,,,,1134.5875,177.1283,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
karina,Karina Milei,2023,oficial_consolidado_oa,Anual,0,748973,3548270.42,10908660.00,-7360389.58,10164565.38,4388.80,3533.1922,808.4833,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
karina,Karina Milei,2024,oficial_consolidado_oa,Anual,0,795500,11401021.93,8419610.00,2981411.93,14997903.03,11042.15,7694.0075,1032.5000,321.31,147.55,251.60,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
karina,Karina Milei,2025,publicado_pdf_oa_pendiente,,,,35312784.57,,,35312784.57,24196.51,10121.3715,1459.4167,995.21,347.41,551.32,https://www.lanacion.com.ar/politica/declaracion-jurada-de-karina-milei-uno-por-uno-todos-los-bienes-informados-de-la-secretaria-general-nid01092026/,Valor publicado atribuido a la DJPI 2025; PDF OA individual pendiente.
