date,original,sa,tc,population,pc_sa_raw,pc_tc_raw,sa_nov2023_100,tc_nov2023_100,pc_sa_raw_nov2023_100,pc_tc_raw_nov2023_100,running_peak_sa,drawdown_sa_pct,running_peak_pc,drawdown_pc_pct,gap_nov2023,cum_loss_months_base,cum_recovery_months_base,cum_net_months_base
2005-02,96.11886613343405,106.03374131373461,105.80166754077054,39677867.19053034,2.6723649435229975e-06,2.6665159957494275e-06,72.44728155411316,72.95185285593917,84.4359188475509,85.02398703423589,106.03374131373461,0.0,2.6723649435229975e-06,0.0,-0.27552718445886837,0.0,0.0,0.0
2005-03,110.65642586719524,106.83398081296676,106.46864075245288,39709111.90015291,2.690414761266806e-06,2.6812143525184937e-06,72.99404313767415,73.41174099124436,85.00622005207879,85.49265585053017,106.83398081296676,0.0,2.690414761266806e-06,0.0,-0.2700595686232584,0.0,0.0,0.0
2005-04,116.54519048214907,107.99173416092523,107.0943698305132,39743704.257235035,2.717203546553318e-06,2.6946247671671795e-06,73.78507514060604,73.84319067149394,85.85263726989129,85.92025760616605,107.99173416092523,0.0,2.717203546553318e-06,0.0,-0.2621492485939396,0.0,0.0,0.0
2005-05,126.66194335502726,109.09957041013837,107.68615064636488,39777180.73183065,2.7427677980916906e-06,2.7072343656621156e-06,74.54200141396201,74.25123251057312,86.66036417617482,86.32232470070039,109.09957041013837,0.0,2.7427677980916906e-06,0.0,-0.2545799858603799,0.0,0.0,0.0
2005-06,116.50222321492875,108.59093362031211,108.25596621985645,39811773.08891278,2.727608573920907e-06,2.719194796425803e-06,74.19447663303127,74.64412898223185,86.18139403215373,86.70369256490848,109.09957041013837,-0.466213375464386,2.7427677980916906e-06,-0.5526980512652546,-0.2580552336696873,0.0,0.0,0.0
2005-07,107.58113926245956,109.13671118353233,108.81851951253856,39845249.56350839,2.7390143713262967e-06,2.731028684839715e-06,74.5673777520396,75.03201800123578,86.5417710781284,87.0810255254731,109.13671118353233,0.0,2.7427677980916906e-06,-0.13684814179331095,-0.2543262224796039,0.0,0.0,0.0
2005-08,105.82089279310111,109.3753549270429,109.38798228076878,39880226.18135662,2.7425961535337075e-06,2.742912785482294e-06,74.73043047717248,75.42467120832119,86.65494090267933,87.45995954295466,109.3753549270429,0.0,2.7427677980916906e-06,-0.006258078358012398,-0.2526956952282752,0.0,0.0,0.0
2005-09,104.89213472672316,109.24681993418862,109.9787475017712,39915202.79920484,2.7369726889215492e-06,2.7553097514003387e-06,74.6426092732661,75.8320127793637,86.47726217553353,87.85524667836278,109.3753549270429,-0.11751732640321588,2.7427677980916906e-06,-0.21128690420579854,-0.25357390726733897,0.0,0.0,0.0
2005-10,104.46066538498441,109.94905932827652,110.60131567362217,39949051.139057964,2.752232060420077e-06,2.768559265366077e-06,75.12241253656268,76.26128296688849,86.95939656987854,88.27771798752747,109.94905932827652,0.0,2.752232060420077e-06,0.0,-0.24877587463437323,0.0,0.0,0.0
2005-11,108.00375438454834,111.17783347769951,111.26497219875105,39984027.75690619,2.7805561299035577e-06,2.782735468152854e-06,75.96196931977818,76.71888419656126,87.85432255599282,88.72973750807749,111.17783347769951,0.0,2.7805561299035577e-06,0.0,-0.24038030680221822,0.0,0.0,0.0
2005-12,110.50332389924424,113.01988413596017,111.97313288130877,40017876.09675931,2.8242349459698743e-06,2.798077854271143e-06,77.22054570331906,77.20717171709967,89.23439640319373,89.21894171329323,113.01988413596017,0.0,2.8242349459698743e-06,0.0,-0.22779454296680934,0.0,0.0,0.0
