indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2006-02-01,104.0901370432872,114.74327778974681,113.50710370832262,0.08293138725531037,0.007772104070729427,0.006961005673431941
2006-03-01,118.58827645043104,114.29222252980547,114.31989511724908,0.07167998171886779,-0.003930995075527193,0.0071607096152771985
2006-04-01,122.08710730131627,115.85853185740707,115.15368596944462,0.04755165611073451,0.013704426188694753,0.007293488603540083
2006-05-01,133.37101567477424,115.0751311561637,116.00457050224863,0.052968335571338655,-0.006761700572967158,0.007389121117927289
2006-06-01,124.29274775102324,116.24646481480154,116.86712999916358,0.06687017913574195,0.01017886007923181,0.00743556476421972
2006-07-01,117.04563185352679,118.13854703544126,117.73617509392808,0.08797538914304709,0.016276471062187596,0.007436180684600657
2006-08-01,116.30360797574892,118.76510180681286,118.61164370462201,0.09906092177036725,0.005303559143855239,0.007435850621064333
2006-09-01,114.80248033323909,119.80162031566624,119.49538397462136,0.09448130341074162,0.008727467017536981,0.007450704183816299
2006-10-01,116.47750825324563,120.5382388023264,120.38824841898389,0.115037012486698,0.006148652119388913,0.007471957615970695
2006-11-01,118.14078229406633,120.65234441875425,121.2930084903612,0.09385810676011318,0.0009466341765202912,0.007515352065165785
2006-12-01,119.60317208093002,123.36357601009584,122.20801072550971,0.08234909015029217,0.022471437288707534,0.007543734354822362
2007-01-01,114.70176482722367,122.10166943184552,123.12965561252766,0.07669899792630616,-0.010229166655699515,0.007541607800883412
2007-02-01,112.74324828605302,124.63894369744415,124.05584811006081,0.08313094293619101,0.020780012897488404,0.00752209118855788
2007-03-01,129.28276498944658,126.42299958168975,124.98429269440928,0.09018166769196398,0.014313791751768435,0.007484085583170383
2007-04-01,133.46308313008805,125.43393794955807,125.9124009620781,0.093179174117832,-0.007823431143101373,0.0074257992557357965
2007-05-01,147.60791074167543,127.20552158541089,126.83573116667858,0.10674654455371253,0.01412363882385037,0.007333115702230089
2007-06-01,136.12098630494512,128.47743985277063,127.75643667580513,0.09516435003605835,0.009998923407626705,0.007259038921111341
2007-07-01,127.38755189795539,127.72448775800072,128.6735313546623,0.08835801798541866,-0.005860578290108834,0.007178461631521316
2007-08-01,126.59522767863001,128.75385596179828,129.5838721290755,0.08848925568179339,0.008059286217282847,0.007074809907128668
2007-09-01,123.5104632944452,129.62130963436823,130.4812592750099,0.07585187128300092,0.006737302476030891,0.006925145322409776
2007-10-01,128.41538266104467,131.25183396903802,131.35297200532628,0.10249081206170445,0.01257913794629232,0.006680750440023644
