"cd_periodo","tx_asistencia","tx_edad","nu_valor"
"201703","Hipotecarios / Mortgage-backed loans","60 - 64","0,646609122384202"
"201703","Hipotecarios / Mortgage-backed loans","65 - 69","0,410563036997068"
"201703","Hipotecarios / Mortgage-backed loans","70 - 74","0,187934248157563"
"201703","Hipotecarios / Mortgage-backed loans","75 - 79","0,11085159979776"
"201703","Hipotecarios / Mortgage-backed loans","80 - 84","0,0913237492849877"
"201703","Hipotecarios / Mortgage-backed loans","85 - 89","0,102589971688568"
"201703","Hipotecarios / Mortgage-backed loans","TOTAL","0,581433638903751"
"201703","Personales / Personal Loans","15 - 19","0,638312382078152"
"201703","Personales / Personal Loans","20 - 24","9,53780107140996"
"201703","Personales / Personal Loans","25 - 29","22,0835797324178"
"201703","Personales / Personal Loans","30 - 34","29,4385302304921"
"201703","Personales / Personal Loans","35 - 39","33,2995452129606"
"201703","Personales / Personal Loans","40 - 44","32,0952800874313"
"201703","Personales / Personal Loans","45 - 49","33,630275692606"
"201703","Personales / Personal Loans","50 - 54","33,1184711857761"
"201703","Personales / Personal Loans","55 - 59","30,999453272429"
"201703","Personales / Personal Loans","60 - 64","34,7314454617295"
"201703","Personales / Personal Loans","65 - 69","39,8853092791695"
"201703","Personales / Personal Loans","70 - 74","40,6938074975788"
"201703","Personales / Personal Loans","75 - 79","35,7628961462569"
"201703","Personales / Personal Loans","80 - 84","26,1894753500056"
"201703","Personales / Personal Loans","85 - 89","14,0270531455729"
"201703","Personales / Personal Loans","TOTAL","25,9817688953133"
"201703","Prendarios / Pledge-backed loans","15 - 19","0,0180718783387511"
"201703","Prendarios / Pledge-backed loans","20 - 24","0,464910791477354"
"201703","Prendarios / Pledge-backed loans","25 - 29","1,16306182625477"
"201703","Prendarios / Pledge-backed loans","30 - 34","1,73090576061907"
"201703","Prendarios / Pledge-backed loans","35 - 39","2,12320941526926"
"201703","Prendarios / Pledge-backed loans","40 - 44","2,13907933807964"
"201703","Prendarios / Pledge-backed loans","45 - 49","2,21297298053612"
"201703","Prendarios / Pledge-backed loans","50 - 54","2,23667675026914"
"201703","Prendarios / Pledge-backed loans","55 - 59","2,0881465935345"
"201703","Prendarios / Pledge-backed loans","60 - 64","1,88596146541448"
"201703","Prendarios / Pledge-backed loans","65 - 69","1,55696180810436"
"201703","Prendarios / Pledge-backed loans","70 - 74","0,772582526413805"
"201703","Prendarios / Pledge-backed loans","75 - 79","0,1757294281355"
"201703","Prendarios / Pledge-backed loans","80 - 84","0,054068934594722"
"201703","Prendarios / Pledge-backed loans","85 - 89","0,0297567597439218"
"201703","Prendarios / Pledge-backed Loans","TOTAL","1,39181031372411"
"201703","Tarjetas de crédito / Credit cards","15 - 19","0,688549930667636"
"201703","Tarjetas de crédito / Credit cards","20 - 24","14,1325596679872"
"201703","Tarjetas de crédito / Credit cards","25 - 29","33,6669242591019"
"201703","Tarjetas de crédito / Credit cards","30 - 34","45,6879890300065"
"201703","Tarjetas de crédito / Credit cards","35 - 39","51,8346153723747"
"201703","Tarjetas de crédito / Credit cards","40 - 44","50,070700126285"
"201703","Tarjetas de crédito / Credit cards","45 - 49","51,9247617993332"
"201703","Tarjetas de crédito / Credit cards","50 - 54","51,9822215672656"
"201703","Tarjetas de crédito / Credit cards","55 - 59","50,2813491433621"
"201703","Tarjetas de crédito / Credit cards","60 - 64","52,2590387747171"
"201703","Tarjetas de crédito / Credit cards","65 - 69","52,8811547117192"
"201703","Tarjetas de crédito / Credit cards","70 - 74","48,858524525541"
"201703","Tarjetas de crédito / Credit cards","75 - 79","39,5157429406211"
"201703","Tarjetas de crédito / Credit cards","80 - 84","27,9843002276499"
"201703","Tarjetas de crédito / Credit cards","85 - 89","17,273090537067"
"201703","Tarjetas de crédito / Credit Cards","TOTAL","38,533102647389"
"201704","Adelantos / Overdrafts","15 - 19","0,134402491418699"
"201704","Adelantos / Overdrafts","20 - 24","2,37444887269988"
"201704","Adelantos / Overdrafts","25 - 29","5,87057811766799"
"201704","Adelantos / Overdrafts","30 - 34","8,4549864684282"
"201704","Adelantos / Overdrafts","35 - 39","9,74087641186074"
"201704","Adelantos / Overdrafts","40 - 44","9,65230862033057"
"201704","Adelantos / Overdrafts","45 - 49","9,92765810874041"
"201704","Adelantos / Overdrafts","50 - 54","9,54130752076644"
"201704","Adelantos / Overdrafts","55 - 59","8,82141996319876"
"201704","Adelantos / Overdrafts","60 - 64","8,84082980776367"
"201704","Adelantos / Overdrafts","65 - 69","9,01916744679999"
"201704","Adelantos / Overdrafts","70 - 74","9,10828159801699"
"201704","Adelantos / Overdrafts","75 - 79","7,96856333642062"
"201704","Adelantos / Overdrafts","80 - 84","6,39167338407241"
"201704","Adelantos / Overdrafts","85 - 89","4,24161355321217"
"201704","Adelantos / Overdrafts","TOTAL","7,05208039599163"
"201704","Hipotecarios / Mortgage-backed loans","15 - 19","0,000539883157918665"
"201704","Hipotecarios / Mortgage-backed loans","20 - 24","0,00507073535748124"
"201704","Hipotecarios / Mortgage-backed loans","25 - 29","0,0948672817485583"
"201704","Hipotecarios / Mortgage-backed loans","30 - 34","0,477784889807214"
"201704","Hipotecarios / Mortgage-backed loans","35 - 39","1,10768809692788"
"201704","Hipotecarios / Mortgage-backed loans","40 - 44","1,43315773233001"
"201704","Hipotecarios / Mortgage-backed loans","45 - 49","1,33333936902595"
"201704","Hipotecarios / Mortgage-backed loans","50 - 54","1,07440170397872"
"201704","Hipotecarios / Mortgage-backed loans","55 - 59","0,871089869079322"
"201704","Hipotecarios / Mortgage-backed loans","60 - 64","0,642515968756685"
"201704","Hipotecarios / Mortgage-backed loans","65 - 69","0,408592842856679"
