persona_id,persona,ambito,poder,nivel_cargo,cargo,jurisdiccion,partido_o_alianza,mandato_inicio,mandato_fin,estado_actividad,fuente_padron_url,fuente_padron_local,regimen_ddjj_actual,estado_ddjj_cargo_actual,detalle_ddjj_cargo_actual,fuente_ddjj_actual_url,oa_historial_2017_2024_estado,oa_historial_nombres,oa_anios_2017_2024,oa_cantidad_anios_2017_2024,oa_primer_anio,oa_ultimo_anio,serie_tab_id,nota_cobertura
prov-cba-leg-agost-carreno-oscar,Oscar Agost Carreño,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Pro,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,nombre_compatible_unico_en_oa,AGOST CARREÑO OSCAR,2017|2018|2019|2021|2023|2024,6,2017,2024,,Banca 60 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-sala-ignacio-antonio,Ignacio Antonio Sala,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Pro,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,sin_nombre_compatible_oa_2017_2024,,,0,,,,Banca 61 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-botta-patricia-isabel,Patricia Isabel Botta,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Pro,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,sin_nombre_compatible_oa_2017_2024,,,0,,,,Banca 62 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-contrera-ines-mercedes,Inés Mercedes Contrera,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Unión Cívica Radical,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,sin_nombre_compatible_oa_2017_2024,,,0,,,,Banca 63 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-carignano-carlos-atilio,Carlos Atilio Carignano,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Unión Cívica Radical,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,sin_nombre_compatible_oa_2017_2024,,,0,,,,Banca 64 · distrito Marcos Juárez. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-rossi-dante-valentin,Dante Valentín Rossi,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Construyendo Córdoba,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,sin_nombre_compatible_oa_2017_2024,,,0,,,,Banca 65 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-peralta-sebastian-amadeo,Sebastián Amadeo Peralta,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Construyendo Córdoba,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,sin_nombre_compatible_oa_2017_2024,,,0,,,,Banca 66 · distrito Tulumba. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-spaccesi-agustin-alejandro,Agustín Alejandro Spaccesi,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,La Libertad Avanza,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,sin_nombre_compatible_oa_2017_2024,,,0,,,,Banca 67 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-grosso-gerardo-jose,Gerardo José Grosso,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,Encuentro Vecinal Córdoba,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,nombre_compatible_unico_en_oa,GROSSO GERARDO JOSE,2018|2020,2,2018,2020,,Banca 68 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
prov-cba-leg-echevarria-luciana,Luciana Echevarría,Provincial,Legislativo,Legislaturas provinciales,Legislador/a provincial,Córdoba,MST en el FIT Unidad,2023,2027,activo_al_2026-09-01,https://legislaturacba.gob.ar/composicion-de-la-camara/,sources/subnational_roster/cordoba_legisladores_vigentes_2026-09-01.json,Legislatura de Córdoba · publicación institucional,ruta_provincial_localizada_sin_cruce_nominal,La sección oficial de DDJJ fue respaldada; falta verificación persona por persona.,https://legislaturacba.gob.ar/declaraciones-juradas/,nombre_compatible_unico_en_oa,ECHEVARRIA LUCIANA GABRIELA,2017|2020,2,2017,2020,,Banca 69 · distrito Distrito único. No se publican DNI ni datos de contacto en el derivado.
