persona_id,persona,nivel_cargo_actual,jurisdiccion_actual,oa_nombre,oa_person_key,estado_revision_identidad,anio,tipo_ddjj,rectificativa,dj_id,organismo_oa,cargo_oa,total_bienes_ars,deudas_ars,diferencia_valuacion_ars,ingresos_neto_gastos_ars,fuente_url,publicable_en_tab
dip-basterra-luis-eugenio,Luis Eugenio Basterra,Diputados nacionales,Formosa,BASTERRA LUIS EUGENIO,4fa411946c1dc5f9,identidad_confirmada_cruce_oficial,2023,Anual,0,706963,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,41338636.40,0.00,29041454.08,23267570.83,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-basterra-luis-eugenio,Luis Eugenio Basterra,Diputados nacionales,Formosa,BASTERRA LUIS EUGENIO,4fa411946c1dc5f9,identidad_confirmada_cruce_oficial,2024,Anual,0,786928,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,80861718.35,0.00,19255973.91,41006023.36,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-basualdo-carolina,Carolina Basualdo,Diputados nacionales,Cordoba,BASUALDO CAROLINA DEL VALLE,5a8a68765abdfcf8,identidad_confirmada_cruce_oficial,2018,Anual,0,413711,,DIPUTADA NACIONAL,1325948.58,110723.70,516949.78,859042.15,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-benedit-beltran,Beltrán Benedit,Diputados nacionales,Entre Rios,BENEDIT BELTRAN,0672b89337d40b66,identidad_confirmada_cruce_oficial,2023,Anual,0,723489,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,326093750.00,0.00,0.00,5638629.22,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-benedit-beltran,Beltrán Benedit,Diputados nacionales,Entre Rios,BENEDIT BELTRAN,0672b89337d40b66,identidad_confirmada_cruce_oficial,2024,Anual,0,804639,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,430951520.00,0.00,0.00,16516929.36,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bonacci-rocio,Rocío Bonacci,Diputados nacionales,Santa Fe,BONACCI ROCIO BELEN,9f56429d790be72b,identidad_confirmada_cruce_oficial,2022,Anual,0,677504,,DIPUTADO NACIONAL,0.00,0.00,0.00,12000000.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bonacci-rocio,Rocío Bonacci,Diputados nacionales,Santa Fe,BONACCI ROCIO BELEN,9f56429d790be72b,identidad_confirmada_cruce_oficial,2023,Inicial,0,686918,,DIPUTADO NACIONAL,0.00,0.00,0.00,0.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bonacci-rocio,Rocío Bonacci,Diputados nacionales,Santa Fe,BONACCI ROCIO BELEN,9f56429d790be72b,identidad_confirmada_cruce_oficial,2024,Anual,0,826621,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,124930099.42,0.00,0.00,53914227.36,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bongiovanni-alejandro,Alejandro Bongiovanni,Diputados nacionales,Santa Fe,BONGIOVANNI ALEJANDRO,8b67c4f8d340b781,identidad_confirmada_cruce_oficial,2017,Baja,0,240448,NACION BURSATIL S. A.,DIRECTOR NACION BURSATIL SA,937172.65,6340800.00,29221.61,1074527.68,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bongiovanni-alejandro,Alejandro Bongiovanni,Diputados nacionales,Santa Fe,BONGIOVANNI ALEJANDRO,8b67c4f8d340b781,identidad_confirmada_cruce_oficial,2022,Inicial,0,677664,FUNDACION DEL ORDEN SOCIAL DE LA LIBERTAD,DIPUTADO NACIONAL,0.00,0.00,0.00,0.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bongiovanni-alejandro,Alejandro Bongiovanni,Diputados nacionales,Santa Fe,BONGIOVANNI ALEJANDRO,8b67c4f8d340b781,identidad_confirmada_cruce_oficial,2023,Anual,1,800114,,DIPUTADO NACIONAL,1628606.59,0.00,0.00,1685075.69,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bongiovanni-alejandro,Alejandro Bongiovanni,Diputados nacionales,Santa Fe,BONGIOVANNI ALEJANDRO,8b67c4f8d340b781,identidad_confirmada_cruce_oficial,2024,Anual,1,802146,FUNDACION DEL ORDEN SOCIAL DE LA LIBERTAD,DIPUTADO NACIONAL,23895873.88,240031.48,0.00,51101540.44,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bordet-gustavo,Gustavo Bordet,Diputados nacionales,Entre Rios,BORDET GUSTAVO EDUARDO,8053174f88f34498,identidad_confirmada_cruce_oficial,2023,Anual,0,717713,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL POR ENTRE RIOS,202780443.21,1035984.64,72535702.68,17526287.89,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bordet-gustavo,Gustavo Bordet,Diputados nacionales,Entre Rios,BORDET GUSTAVO EDUARDO,8053174f88f34498,identidad_confirmada_cruce_oficial,2024,Anual,0,817859,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL POR ENTRE RIOS,395809334.04,222387.78,66128808.10,45519347.12,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-borgatta-alejandrina,Alejandrina Borgatta,Diputados nacionales,Santa Fe,BORGATTA ALEJANDRINA BELEN,be9b101950203f17,identidad_confirmada_cruce_oficial,2024,Anual,0,822269,,DIPUTADA NACIONAL,303093000.00,0.00,0.00,22085780.27,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bornoroni-gabriel,Gabriel Bornoroni,Diputados nacionales,Cordoba,BORNORONI GABRIEL MARCOS,92d1171357f63701,identidad_confirmada_cruce_oficial,2022,Anual,1,683230,,DIPUTADO NACIONAL,79457938.13,23327081.19,0.00,693333.33,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bornoroni-gabriel,Gabriel Bornoroni,Diputados nacionales,Cordoba,BORNORONI GABRIEL MARCOS,92d1171357f63701,identidad_confirmada_cruce_oficial,2023,Anual,0,732721,,DIPUTADO NACIONAL,2907665950.00,19843751.67,0.00,25670672.30,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bornoroni-gabriel,Gabriel Bornoroni,Diputados nacionales,Cordoba,BORNORONI GABRIEL MARCOS,92d1171357f63701,identidad_confirmada_cruce_oficial,2024,Anual,0,784811,,DIPUTADO NACIONAL,504784358.67,65330311.83,0.00,59691254.85,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bregman-myriam,Myriam Bregman,Diputados nacionales,Ciudad De Buenos Aires,BREGMAN MYRIAM TERESA,c501f7ad6b598dda,identidad_confirmada_cruce_oficial,2018,Anual,1,414161,,DIPUTADA NACIONAL,420551.44,0.00,0.00,1344906.80,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bregman-myriam,Myriam Bregman,Diputados nacionales,Ciudad De Buenos Aires,BREGMAN MYRIAM TERESA,c501f7ad6b598dda,identidad_confirmada_cruce_oficial,2020,Anual,0,540667,,DIPUTADA NACIONAL,234732.93,0.00,0.00,2516767.33,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bregman-myriam,Myriam Bregman,Diputados nacionales,Ciudad De Buenos Aires,BREGMAN MYRIAM TERESA,c501f7ad6b598dda,identidad_confirmada_cruce_oficial,2021,Anual,0,600278,,DIPUTADA NACIONAL,232558.56,0.00,0.00,1638372.97,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-bregman-myriam,Myriam Bregman,Diputados nacionales,Ciudad De Buenos Aires,BREGMAN MYRIAM TERESA,c501f7ad6b598dda,identidad_confirmada_cruce_oficial,2022,Anual,2,668022,,DIPUTADA NACIONAL,887739.28,0.00,0.00,31283830.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
