id,estado_local,archivo_local,sha256_actual
indec_cgi_methodology_24,ok,/data/fuentes/pendulo_distributivo/metodologia/metodologia_24_cuentas_nacionales.pdf,82c1e1a1adf22194c624eaab455735186abaf379fcd6bd9207d398d9713e941a
indec_cgi_modern_2016_2026q1,ok,/data/fuentes/pendulo_distributivo/indec/serie_cgi_07_26.xls,85f8e1a40e8b5fa143b20ad78b67405b3a728f19756d5aeeb1dd1a1e7efb4f4b
indec_cgi_report_2026q1,ok,/data/fuentes/pendulo_distributivo/indec/cgi_07_26.pdf,c06a9623a61f14f89ce0351ca27d71dd72dd2e970c86416865884cfd4c79585b
bcra_cer_daily_202608,ok,/data/fuentes/tasas/bcra/tas5_ser.txt,efb761ddd1e9586f5fdc792f968330d42a788754fea70648157d877f7d67c36a
bcra_iif_2023_cft_pdf,ok,/data/fuentes/pendulo_poder_economico/bcra/IIF-primer-semestre-2023.pdf,dbefef024f4a3c50ee006606059695b7545285cc0baee7c14c80a46d025d7972
bcra_informe_bancos_202605_pdf,ok,/data/fuentes/pendulo_poder_economico/bcra/InfBanc0526.pdf,c4a98662e7bf0a3ce9e26b87c74d0206b212fddf00786ea3f31bcef77543698a
bcra_informe_bancos_202605_xlsx,ok,/data/fuentes/pendulo_poder_economico/bcra/InfBanc0526.xlsx,3966ba65f712354cc6bce742c6aa18572b6b25b4a9341495c3c1e381332d95b7
bcra_series_catalog_202608,ok,/data/fuentes/tasas/bcra/es_series.txt,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
bcra_pf_historico,ok,/data/fuentes/tasas/bcra/pashis.xls,86683efb606e874d4f2edb1b6e96b2d926ebd3b64479981811c80262b7dc5414
bcra_pf_txt,ok,/data/fuentes/tasas/bcra/tas1_ser.txt,be3d0b8f57fd3531766c70d293af6734a5517610bfa2f5c994be78afba684410
poblacion_world_bank_arg,ok,/data/fuentes/emae/poblacion/world_bank_SP_POP_TOTL_ARG.json,52afe66cab503055f41bb6006d7be5d376b286b33e944e05ecd29dc68987aecc
poblacion_indec_base_csv,ok,/data/fuentes/emae/poblacion/proyecciones_nacionales_2022_2040_base.csv,043bcb5943c160e6d5be1864ac3e30d0fa90eb0a80a4ef65a18bf6446592aa7c
poblacion_indec_metadatos,ok,/data/fuentes/emae/poblacion/metadatos_base_proyecciones_nacionales_2022_2040.pdf,615131fe409690d0adb3d3139378167cc2134fae52c6f41f89e288faaa73a4c2
poblacion_indec_xlsx,ok,/data/fuentes/emae/poblacion/proyecciones_nacionales_2022_2040_c1_c2.xlsx,478a9a8fd1e888ea5c9b2039f6eddee3228f191043de128c159a43c614dbb5e4
bcra_pases_esquema_20231218,referenced_only,,
bcra_personales_diario,ok,/data/fuentes/tasas/bcra/diar_pre.xls,b80b16b6561fdd1e8c5659572d72b14680c13b5d6555a946fb566673807a6b20
bcra_personales_mensual,ok,/data/fuentes/tasas/bcra/preser_mon.xls,3dd4f335cae95bc6a6f927d03cb7878b3fd08e27d288f2686d877c1335c2ec82
bcra_personales_tasas,ok,/data/fuentes/tasas/bcra/preser_tas.xls,063ba84b46b8c57162d3c9a87c722b2dc8cd3ca37a98c16105b55a4e5f4b9f53
bcra_personales_txt,ok,/data/fuentes/tasas/bcra/tas2_ser.txt,e71e938a9000c6c6ca78a2c9e58243de11aee1f875d14d78ecb4e9a01e98a181
capital_humano_auh_alimentar_cba_2024,referenced_only,,
bcra_com_a5590,referenced_only,,
bcra_com_a5853,referenced_only,,
bcra_com_a5928,referenced_only,,
bcra_imm_jun2014_a5590,referenced_only,,
bcra_proteccion_usuarios_2015_resumen,referenced_only,,
audit_supermercados_hist,ok,/data/fuentes/supermercados/metodologia/AUDITORIA_SUPERMERCADOS_HISTORICO_2017_2026.md,fc2868576d88bd67013d710f1bf3d718a34fa0d3a1b2fd9381d8e959488d4b31
deriv_supermercados_estructura,ok,/data/derivados/supermercados/supermercados_estructura_2020_2026.csv,d3fe0bcea3c3c39773acb915508ddf0d0c456638b211bd57dbd56d88d2f4c270
deriv_supermercados_moderno,ok,/data/derivados/supermercados/supermercados_moderno_2017_2026.csv,f3518ece4e92d8a75a0abe681d599ac21b4e78aa6ca121a21382230500377465
deriv_supermercados_pago,ok,/data/derivados/supermercados/supermercados_medios_pago_2020_2026.csv,f77a9dbecf05857bdc1e4c0cd7065f022dfb73107632822cd3824d85a76507a9
deriv_supermercados_rubros,ok,/data/derivados/supermercados/supermercados_rubros_composicion_2023_2026.csv,3fc1ccdd9f0ea71392bfc1fc6af07b0adb24f14457c1f72244353d61fb20ba2d
deriv_supermercados_territorio,ok,/data/derivados/supermercados/supermercados_territorio_1S2026_referencias.csv,f47a8c931b2fc157d07ba5dec02041de776bf88c918b6b4b4ed58f15cdd83c96
indec_supermercados_archivo,referenced_only,,
indec_supermercados_serie,referenced_only,,
indec_supermercados_tema,referenced_only,,
bcra_boletin_202608,ok,/data/fuentes/tasas/bcra/boldat202608.pdf,108f911ee1792c3d665c674dad13a5699d7c3ba5503f1171c1dd532cc359ac55
