fecha,banco_real,banco_promedio_historico,banco_brecha_tecnica_pp,monto_personales,impacto_banco_nominal,impacto_hogar_banco_nominal,impacto_hogar_banco_constante,pf_real,pf_promedio_historico,pf_brecha_pp,monto_pf,impacto_hogar_pf_nominal,impacto_hogar_pf_constante,impacto_hogar_total_nominal,impacto_hogar_total,fintech_tna,fintech_real,fintech_promedio_historico,fintech_brecha_tecnica_pp,stock_fintech_constante_feb_2026,stock_fintech_constante_jul_2026,impacto_costo_fintech_constante,impacto_hogar_fintech_constante,impacto_hogar_total_ampliado,fintech_tasa_metodo,fintech_stock_metodo,fintech_tasa_observada,ipc,ipc_ref,factor_ipc,periodo_referencia,ventana
2022-02,-0.038021,1.069151,-1.107172,50259631000.0,-556460674.551726,556460674.551726,10608898675.417395,-1.556132,-0.528703,-1.027429,2828416562000.0,-29059964752.954025,-554026970232.2563,-28503504078.402298,-543418071556.8389,124.208287,5.402702,6.986491,-1.583788,1267012333333.3333,1428042422956.2634,-22617169740.2583,22617169740.2583,-520800901816.5806,TNA oficial mensual,interpolado entre cortes oficiales,True,633.4341,12076.3937,19.064957,2026-07,espejo
2022-03,-1.93376,1.069151,-3.002911,66742627000.0,-2004221837.687301,2004221837.687301,35801398838.57262,-3.268796,-0.528703,-2.740093,3584645836000.0,-98222620443.88252,-1754549892310.7832,-96218398606.19522,-1718748493472.2107,121.373472,3.172207,6.986491,-3.814284,1291763500000.0,1455939322684.6753,-55533660515.364296,55533660515.364296,-1663214832956.8464,TNA oficial mensual,interpolado entre cortes oficiales,True,676.0566,12076.3937,17.862992,2026-07,espejo
2022-04,-1.152039,1.069151,-2.22119,59656946000.0,-1325094252.767699,1325094252.767699,22320364490.84511,-2.424161,-0.528703,-1.895458,3651024694000.0,-69203630291.20421,-1165690854792.4695,-67878536038.43651,-1143370490301.6243,123.39069,3.993725,6.986491,-2.992766,1316514666666.6667,1483836222413.087,-44407741120.02752,44407741120.02752,-1098962749181.5968,TNA oficial mensual,interpolado entre cortes oficiales,True,716.9399,12076.3937,16.84436,2026-07,espejo
2022-05,-0.132456,1.069151,-1.201607,60792637000.0,-730488718.136143,730488718.136143,11713077730.669304,-1.332071,-0.528703,-0.803368,4076170546000.0,-32746639349.656425,-525078516064.41095,-32016150631.520283,-513365438333.74164,123.758963,5.010002,6.986491,-1.976488,1341265833333.3333,1511733122141.4985,-29879230461.90022,29879230461.90022,-483486207871.84143,TNA oficial mensual,interpolado entre cortes oficiales,True,753.147,12076.3937,16.034577,2026-07,espejo
2022-06,-0.260511,1.069151,-1.329662,58960424000.0,-783974485.313715,783974485.313715,11938527924.750298,-1.356268,-0.528703,-0.827565,4255513935000.0,-35217132994.40804,-536293889099.13556,-34433158509.09433,-524355361174.38525,125.424986,4.897526,6.986491,-2.088965,1366017000000.0,1539630021869.9104,-32162327929.83605,32162327929.83605,-492193033244.5492,TNA oficial mensual,interpolado entre cortes oficiales,True,793.0278,12076.3937,15.22821,2026-07,espejo
2022-07,-1.800803,1.069151,-2.869954,62427935000.0,-1791653157.780161,1791653157.780161,25402324017.18492,-3.058748,-0.528703,-2.530045,4362916183000.0,-110383731565.26459,-1565036906429.4473,-108592078407.48442,-1539634582412.2625,128.829581,3.100009,6.986491,-3.886482,1390768166666.6667,1567526921598.3223,-60921651247.46604,60921651247.46604,-1478712931164.7964,TNA oficial mensual,interpolado entre cortes oficiales,True,851.761,12076.3937,14.178148,2026-07,espejo
2022-08,-0.652224,1.069151,-1.721375,69443116000.0,-1195376593.922044,1195376593.922044,15843856549.336706,-1.925854,-0.528703,-1.397151,5355878356000.0,-74829694288.94951,-991813749719.5748,-73634317695.02747,-975969893170.2382,136.686649,4.132191,6.986491,-2.8543,1415519333333.3333,1595423821326.7336,-45538179943.493,45538179943.493,-930431713226.7451,TNA oficial mensual,interpolado entre cortes oficiales,True,911.1316,12076.3937,13.25428,2026-07,espejo
2022-09,0.327351,1.069151,-0.7418,71603192000.0,-531152638.981707,531152638.981707,6631198166.061205,-0.723639,-0.528703,-0.194936,5659803855000.0,-11032980743.498466,-137741726771.30438,-10501828104.51676,-131110528605.24318,146.249747,5.672236,6.986491,-1.314255,1440270500000.0,1623320721055.1455,-21334566669.788574,21334566669.788574,-109775961935.4546,TNA oficial mensual,interpolado entre cortes oficiales,True,967.3076,12076.3937,12.484543,2026-07,espejo
2022-10,0.513065,1.069151,-0.556086,69660521000.0,-387372561.173107,387372561.173107,4547522379.867308,-0.67297,-0.528703,-0.144267,6103183702000.0,-8804864396.229603,-103363846350.64001,-8417491835.056496,-98816323970.7727,153.283919,6.042755,6.986491,-0.943736,1465021666666.6667,1651217620783.5574,-15583130813.769321,15583130813.769321,-83233193157.00339,TNA oficial mensual,interpolado entre cortes oficiales,True,1028.706,12076.3937,11.739402,2026-07,espejo
2022-11,1.58392,1.069151,0.514769,82032044000.0,422275348.443297,-422275348.443297,-4724973593.573127,0.673106,-0.528703,1.201809,6353934052000.0,76362167568.50761,854440654988.0673,75939892220.06432,849715681394.4941,153.096551,7.474444,6.986491,0.487953,1489772833333.3333,1679114520511.969,8193297004.799633,-8193297004.799633,841522384389.6945,TNA oficial mensual,interpolado entre cortes oficiales,True,1079.2787,12076.3937,11.189319,2026-07,espejo
2022-12,1.547781,1.069151,0.47863,75419080000.0,360978173.312874,-360978173.312874,-3842202155.438081,0.508418,-0.528703,1.037121,6600586924000.0,68456090021.44025,728637230942.1299,68095111848.12737,724795028786.6918,157.244873,7.590165,6.986491,0.603675,1514524000000.0,1707011420240.3806,10304795851.028809,-10304795851.028809,714490232935.663,TNA oficial mensual,corte oficial,True,1134.5875,12076.3937,10.643863,2026-07,espejo
