fecha,monto_operado_personales_nominal,fuente,codigo_serie,nota_metodologica
2024-07,1151928993000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-08,1243078338000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-09,1308210433000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-10,1354893407000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-11,1309430480000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2024-12,1319575672000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-01,1620345017000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-02,1535508212000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-03,1610179834000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-04,1621004043000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-05,1429665953000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-06,1228763226000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-07,1396174031000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-08,1392514188000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-09,1211270634000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-10,1174875096000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-11,1017799027000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2025-12,1157268458000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2026-01,1389006969000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2026-02,1316441842000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2026-03,1416557341000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2026-04,1359139094000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2026-05,1161093829000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2026-06,1138749779000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2026-07,1127394352000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
