"periodo","rango_etario","cobertura_personales_pct_poblacion_del_rango","tramo_metodologico","umbral_saldo_deuda_reportable_pesos","fuente","nota"
"2024-12","65 - 69","29,23613","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","70 - 74","27,98942","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","75 - 79","23,77895","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","80 - 84","16,95536","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","85 - 89","7,81371","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2024-12","TOTAL","26,62799","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","15 - 19","3,39092","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","20 - 24","23,12405","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","25 - 29","35,00171","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2025-06","30 - 34","40,37722","B_2024-07_a_2025-12","25000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
